Karl McCartney,karlmccartney,Conservative,Lincoln,26796376,,,,,
Kate Green,kategreenmp,Labour,Stretford and Urmston,105838665,,,,,
Kerry McCarthy,kerrymp,Labour,Bristol East,18099795,,,1455,,
Kevin Brennan,kevinbrennanmp,Labour,Cardiff West,21746513,,,1483,,
Simon Kirby,kirby4kt,Conservative,"Brighton, Kemptown",14937936,,,,,
Kwasi Kwarteng,kwasikwarteng,Conservative,Spelthorne,109585815,,,,,
Laura Sandys,laurasandysmp,Conservative,South Thanet,188332701,,,,,
Liz Kendall,leicesterliz,Labour,Leicester West,105800463,,,,,
Lembit Opik,lembitopik,Liberal Democrats,,19902377,,,1720,,
Lynne Featherstone,lfeatherstone,Liberal Democrats,Hornsey and Wood Green,14197060,,,1641,,
Liam Byrne,liambyrnemp,Labour,"Birmingham, Hodge Hill",27212119,,,1414,,
Lilian Greenwood,liliangreenwood,Labour,Nottingham South,20148039,,,,,
Linda Riordan,linda_riordan,Labour,Halifax,21291109,,,1607,,
Lisa Nandy,lisanandy,Labour,Wigan,94701778,,,,,
Louise Bagshawe,louisebagshawe,Conservative,Corby,312029696,,,,,
Louise Ellman,louiseellman,Labour,"Liverpool, Riverside",77224096,,,1688,,
Luciana Berger,lucianaberger,Labour,"Liverpool, Wavertree",20992801,,,,,
Malcolm Bruce,malcolmbruce,Liberal Democrats,Gordon,77220402,,,1993,,
Margaret Hodge,margarethodge,Labour,Barking,111411358,,,,,
Margot James,margotjamesmp,Conservative,Stourbridge,70796349,,,,,
Mark Williams,mark4ceredigion,Liberal Democrats,Ceredigion,124312153,,,,,
Mark Garnier,mark4wyreforest,Conservative,Wyre Forest,20226550,,,,,
Mark Prisk,mark_prisk,Conservative,Hertford and Stortford,370632646,,,,,
Mark Reckless,mark_reckless,Conservative,Rochester and Strood,51814702,,,,,
Mark Durkan,markdurkan,SDLP,Foyle,36672211,,,1589,,
Mark Spencer,markspencermp,Conservative,Sherwood,154943205,,,,,
Martin Horwood,martinchelt,Liberal Democrats,Cheltenham,55059675,,,,,
Mary Creagh,marycreagh_mp,Labour,Wakefield,169864622,,,,,
Mary Macleod,marymacleodmp,Conservative,Brentford and Isleworth,44548822,,,,,
Michael Ellis,michael_ellis1,Conservative,Northampton North,19858924,,,,,
Michael Dugher,michaeldughermp,Labour,Barnsley East,193313425,,,,,
Michael Meacher,michaelmeacher,Labour,Oldham West and Royton,102084479,,,1753,,
Michael Fabricant,mike_fabricant,Conservative,Lichfield,19058678,,,1685,,
Michael Foster,mikefostermp,Labour,,140121786,,,1939,,
Mike Gapes,mikegapes,Labour,Ilford South,15672615,,,1652,,
