Constituency Name,Party,Member Name,Twitter Screen Name
Newbury,Conservative,Richard Benyon,@RichardBenyonMP
Watford,Conservative,Richard Harrington,@Richard4Watford
Reading East,Conservative,Rob Wilson,@RobWilson_RDG
South Swindon,Conservative,Robert Buckland,@RobertBuckland
Harlow,Conservative,Robert Halfon,@halfon4harlow
"Durham, City of",Labour,Roberta Blackman-Woods,@robertabw
Penrith and The Border,Conservative,Rory Stewart,@RoryStewartUK
West Lancashire,Labour,Rosie Cooper,@rosie4westlancs
Tooting,Labour,Sadiq Khan,@SadiqKhan
East Surrey,Conservative,Sam Gyimah,@SamGyimah
Gateshead East and Washington West,Labour,Sharon Hodgson,@SharonHodgsonMP
South East Cornwall,Conservative,Sheryll Murray,@sheryllmurray
North Southwark and Bermondsey,Liberal Democrats,Simon Hughes,@LibDemSimon
"Brighton, Kemptown",Conservative,Simon Kirby,@Kirby4KT
Walthamstow,Labour,Stella Creasy,@stellacreasy
St Austell and Newquay,Liberal Democrats,Stephen Gilbert,@stephen_gilbert
"Birmingham, Hall Green",Labour,Stephen McCabe,@steve_mccabe
City of Chester,Conservative,Stephen Mosley,@mp4chester
East Ham,Labour,Stephen Timms,@stephenctimms
"Liverpool, West Derby",Labour,Stephen Twigg,@StephenTwigg
Bristol West,Liberal Democrats,Stephen Williams,@SWilliamsMP
Winchester,Conservative,Steve Brine,@sbrine
Northavon,Liberal Democrats,Steve Webb,@stevewebb1
Wycombe,Conservative,Steven Baker,@sjbaker
Peterborough,Conservative,Stewart Jackson,@SJacksonMP
Pudsey,Conservative,Stuart Andrew,@StuartAndrewMP
Erith and Thamesmead,Labour,Teresa Pearce,@tpearce003
Dulwich and West Norwood,Labour,Tessa Jowell,@jowellt
Suffolk Coastal,Conservative,Therese Coffey,@theresecoffey
Westmorland and Lonsdale,Liberal Democrats,Tim Farron,@timfarron
East Worthing and Shoreham,Conservative,Tim Loughton,@timloughton
Chesterfield,Labour,Toby Perkins,@tobyperkinsmp
Middlesbrough South and East Cleveland,Labour,Tom Blenkinsop,@TomBlenkinsop
Carshalton and Wallington,Liberal Democrats,Tom Brake,@thomasbrake
Rutherglen and Hamilton West,Labour,Tom Greatrex,@tomgreatrexmp
Glasgow South,Labour,Tom Harris,@TomHarrisMP
West Bromwich East,Labour,Tom Watson,@tom_watson
Banbury,Conservative,Tony Baldry,@TonyBaldry
Manchester Central,Labour,Tony Lloyd,@tonylloydmp
Chatham and Aylesford,Conservative,Tracey Crouch,@tracey_crouch
